id,name,common_name,messier_id,caldwell_id,ra_deg,dec_deg,type,mag,size_arcmin,surface_brightness,tags
NGC4449,NGC4449,,,C21,187.046250,44.093639,galaxy,9.64,3.69,21.10,caldwell
NGC4450,NGC4450,,,,187.123458,17.084944,galaxy,10.87,4.62,22.99,
NGC4452,NGC4452,,,,187.180458,11.755028,galaxy,11.90,1.98,24.03,
NGC4454,NGC4454,,,,187.211458,-1.939194,galaxy,11.93,2.08,23.16,
NGC4457,NGC4457,,,,187.245875,3.570583,galaxy,10.57,2.58,22.34,
NGC4458,NGC4458,,,,187.239875,13.241889,galaxy,12.12,1.54,22.79,
NGC4459,NGC4459,,,,187.250042,13.978361,galaxy,10.25,3.67,23.13,
NGC4460,NGC4460,,,,187.189833,44.864222,galaxy,12.40,2.49,24.05,
NGC4461,NGC4461,,,,187.262542,13.183750,galaxy,11.02,2.42,23.35,
NGC4462,NGC4462,,,,187.338417,-23.166361,galaxy,11.85,2.46,23.71,
NGC4469,NGC4469,,,,187.366792,8.749917,galaxy,11.04,1.96,22.73,
NGC4472,NGC4472,,M49,,187.444833,8.000472,galaxy,8.28,9.30,23.25,messier
NGC4473,NGC4473,,,,187.453625,13.429361,galaxy,10.09,3.39,23.03,
NGC4474,NGC4474,,,,187.473125,14.068583,galaxy,11.56,1.95,23.01,
NGC4476,NGC4476,,,,187.496167,12.348667,galaxy,12.20,1.42,22.98,
NGC4477,NGC4477,,,,187.509167,13.636611,galaxy,10.31,3.46,22.86,
NGC4478,NGC4478,,,,187.572583,12.328556,galaxy,11.44,1.59,22.30,
NGC4480,NGC4480,,,,187.611583,4.246583,galaxy,12.40,1.43,22.68,
NGC4483,NGC4483,,,,187.669375,9.015667,galaxy,12.18,1.25,22.86,
NGC4485,NGC4485,,,,187.629708,41.701167,galaxy,12.18,1.67,22.22,
NGC4486,NGC4486,Virgo Galaxy,M87,,187.705917,12.391111,galaxy,9.00,6.89,22.79,messier
NGC4487,NGC4487,,,,187.768583,-8.053917,galaxy,11.45,2.68,22.75,
NGC4488,NGC4488,,,,187.714042,8.360000,galaxy,12.02,1.75,23.58,
NGC4490,NGC4490,,,,187.651000,41.643889,galaxy,9.72,4.18,21.43,
NGC4491,NGC4491,,,,187.737958,11.483528,galaxy,12.43,1.25,22.88,
NGC4492,NGC4492,,,,187.748792,8.077861,galaxy,11.99,1.98,22.94,
NGC4494,NGC4494,,,,187.850417,25.775250,galaxy,9.80,4.24,22.75,
NGC4496A,NGC4496A,,,,187.913375,3.939472,galaxy,11.59,3.08,23.32,
NGC4497,NGC4497,,,,187.885542,11.624722,galaxy,12.46,1.52,23.37,
NGC4501,NGC4501,,M88,,187.996500,14.420389,galaxy,10.33,6.52,23.17,messier
NGC4503,NGC4503,,,,188.025958,11.176417,galaxy,10.97,2.53,23.34,
NGC4504,NGC4504,,,,188.072708,-7.563444,galaxy,11.61,2.58,23.01,
NGC4517,NGC4517,,,,188.189958,0.115028,galaxy,10.48,5.22,23.18,
NGC4517A,NGC4517A,,,,188.117292,0.389667,galaxy,12.24,1.51,22.45,
NGC4519,NGC4519,,,,188.376042,8.654750,galaxy,12.00,2.05,22.72,
NGC4526,NGC4526,,,,188.512875,7.699528,galaxy,9.59,4.71,23.43,
NGC4527,NGC4527,,,,188.535083,2.653667,galaxy,10.50,4.01,23.10,
NGC4528,NGC4528,,,,188.525292,11.321250,galaxy,11.97,1.23,22.60,
NGC4531,NGC4531,,,,188.566208,13.075333,galaxy,12.36,2.50,23.40,
NGC4532,NGC4532,,,,188.580542,6.467694,galaxy,11.92,1.69,22.02,
NGC4535,NGC4535,,,,188.584625,8.197750,galaxy,9.89,7.82,23.79,
NGC4536,NGC4536,,,,188.612708,2.188139,galaxy,10.48,4.81,23.26,
NGC4539,NGC4539,,,,188.644750,18.202694,galaxy,12.05,1.91,23.46,
NGC4540,NGC4540,,,,188.711958,15.551722,galaxy,12.31,2.01,22.61,
NGC4546,NGC4546,,,,188.872958,-3.793194,galaxy,10.57,2.46,22.56,
NGC4548,NGC4548,,M91,,188.860208,14.496333,galaxy,10.96,5.04,23.24,messier
NGC4550,NGC4550,,,,188.877417,12.220833,galaxy,12.03,1.94,23.57,
NGC4551,NGC4551,,,,188.908125,12.263972,galaxy,11.98,1.48,22.87,
NGC4552,NGC4552,,M89,,188.915875,12.556333,galaxy,10.08,8.07,24.11,messier
NGC4553,NGC4553,,,,189.031667,-39.438667,galaxy,12.20,1.96,23.98,
NGC4559,NGC4559,,,C36,188.990208,27.960000,galaxy,9.92,7.70,23.48,caldwell
NGC4559C,NGC4559C,,,C36,188.967167,27.932083,emission_nebula,,,,caldwell
NGC4564,NGC4564,,,,189.112417,11.439278,galaxy,11.26,2.40,23.25,
NGC4565,NGC4565,Needle Galaxy,,C38,189.086583,25.987667,galaxy,10.86,9.82,23.75,caldwell
NGC4567,NGC4567,Butterfly Galaxies,,,189.136292,11.258000,galaxy,11.32,2.45,22.67,
NGC4568,NGC4568,Butterfly Galaxies,,,189.142750,11.238889,galaxy,10.80,3.09,22.89,
NGC4569,NGC4569,,M90,,189.207458,13.162944,galaxy,9.54,6.47,23.16,messier
NGC4570,NGC4570,,,,189.222500,7.246639,galaxy,11.11,2.41,23.30,
NGC4571,NGC4571,,,,189.234917,14.217361,galaxy,11.29,3.44,23.36,
NGC4578,NGC4578,,,,189.377333,9.555083,galaxy,11.40,2.12,22.98,
NGC4579,NGC4579,,M58,,189.431333,11.818194,galaxy,10.30,4.42,22.49,messier
NGC4581,NGC4581,,,,189.521542,1.477750,galaxy,12.38,1.34,23.12,
NGC4586,NGC4586,,,,189.618333,4.319083,galaxy,11.58,2.28,23.43,
NGC4589,NGC4589,,,,189.354125,74.191917,galaxy,10.74,2.62,22.90,
NGC4590,NGC4590,,M68,,189.866708,-26.743028,globular_cluster,7.96,6.60,,messier
NGC4592,NGC4592,,,,189.828083,-0.532000,galaxy,11.88,2.63,23.04,
NGC4593,NGC4593,,,,189.914292,-5.344250,galaxy,11.43,2.22,22.68,
NGC4594,NGC4594,Sombrero Galaxy,M104,,189.997625,-11.623056,galaxy,8.59,6.68,22.26,messier
NGC4596,NGC4596,,,,189.983125,10.176139,galaxy,10.46,3.62,22.99,
NGC4602,NGC4602,,,,190.153542,-5.133000,galaxy,11.75,1.04,21.42,
NGC4603,NGC4603,,,,190.230042,-40.976389,galaxy,11.67,2.22,22.99,
NGC4605,NGC4605,,,,189.997417,61.609194,galaxy,10.26,4.08,22.63,
NGC4606,NGC4606,,,,190.239750,11.912222,galaxy,11.90,1.92,23.10,
NGC4608,NGC4608,,,,190.305375,10.155667,galaxy,11.08,2.69,22.96,
NGC4612,NGC4612,,,,190.386458,7.314889,galaxy,12.10,2.17,22.88,
NGC4618,NGC4618,,,,190.386875,41.150778,galaxy,10.78,2.92,22.41,
NGC4621,NGC4621,,M59,,190.509333,11.647028,galaxy,9.56,3.88,22.71,messier
NGC4625,NGC4625,,,,190.469667,41.273972,galaxy,12.46,1.23,22.26,
NGC4627,NGC4627,,,,190.498667,32.573556,galaxy,12.48,2.01,23.73,
NGC4631,NGC4631,Whale Galaxy,,C32,190.533375,32.541500,galaxy,9.24,8.32,22.44,caldwell
NGC4632,NGC4632,,,,190.633458,-0.082611,galaxy,11.86,1.77,22.27,
NGC4634,NGC4634,,,,190.670667,14.295833,galaxy,12.33,1.54,22.56,
NGC4636,NGC4636,,,,190.707625,2.687778,galaxy,9.99,5.53,22.91,
NGC4638,NGC4638,,,,190.697583,11.442500,galaxy,11.12,1.91,22.60,
NGC4639,NGC4639,,,,190.718292,13.257389,galaxy,11.60,2.38,22.79,
NGC4643,NGC4643,,,,190.833917,1.978278,galaxy,10.65,2.00,21.68,
NGC4645,NGC4645,,,,191.041625,-41.749944,galaxy,11.83,1.43,23.18,
NGC4645A,NGC4645A,,,,190.773208,-41.358917,galaxy,12.39,2.00,24.50,
NGC4647,NGC4647,,,,190.884625,11.581861,galaxy,11.60,2.55,22.41,
NGC4648,NGC4648,,,,190.434958,74.420944,galaxy,12.03,1.28,22.55,
NGC4649,NGC4649,,M60,,190.916583,11.552694,galaxy,8.79,6.12,22.81,messier
NGC4650,NGC4650,,,,191.081625,-40.731806,galaxy,11.80,2.54,23.73,
NGC4651,NGC4651,Umbrella Galaxy,,,190.927625,16.393389,galaxy,10.82,3.23,22.71,
NGC4653,NGC4653,,,,190.962125,-0.561222,galaxy,12.36,2.20,23.24,
NGC4654,NGC4654,,,,190.985750,13.126667,galaxy,10.49,3.60,22.65,
NGC4656NED01,NGC4656 NED01,,,,190.990292,32.170250,galaxy,10.47,3.56,20.62,
NGC4658,NGC4658,,,,191.157458,-10.083111,galaxy,12.43,1.12,22.01,
NGC4660,NGC4660,,,,191.133250,11.190528,galaxy,11.27,1.83,22.50,
NGC4664,NGC4664,,,,191.274958,3.055778,galaxy,10.50,4.52,23.13,
NGC4666,NGC4666,,,,191.285792,-0.461889,galaxy,10.75,3.47,22.92,
NGC4684,NGC4684,,,,191.823000,-2.727417,galaxy,11.55,1.97,23.16,
NGC4689,NGC4689,,,,191.939833,13.762806,galaxy,10.93,3.34,22.96,
NGC4691,NGC4691,,,,192.056792,-3.332722,galaxy,10.99,2.75,22.59,
NGC4696,NGC4696,,,,192.205208,-41.310833,galaxy,10.30,3.21,23.42,
NGC4697,NGC4697,,,C52,192.149500,-5.800750,galaxy,9.37,5.65,23.36,caldwell
NGC4698,NGC4698,,,,192.095458,8.487389,galaxy,10.65,2.68,22.64,
NGC4699,NGC4699,,,,192.259292,-8.664861,galaxy,9.53,3.50,21.92,
NGC4700,NGC4700,,,,192.283958,-11.409861,galaxy,12.21,1.60,21.58,
NGC4701,NGC4701,,,,192.298292,3.388722,galaxy,12.37,1.51,22.47,
NGC4709,NGC4709,,,,192.516167,-41.381972,galaxy,11.10,2.30,23.36,
NGC4710,NGC4710,,,,192.411792,15.165444,galaxy,10.71,2.76,23.43,
